locale,source,target,anchor,reason
en-US,/,/features/project-management/,Inspection projects,home feature discovery
en-US,/features/project-management/,/blog/project-management/,Inspection projects,task education
en-US,/blog/project-management/,/features/project-management/,Inspection projects,feature verification
en-US,/,/features/inspection-checklists/,Inspection checklists,home feature discovery
en-US,/features/inspection-checklists/,/blog/inspection-checklists/,Inspection checklists,task education
en-US,/blog/inspection-checklists/,/features/inspection-checklists/,Inspection checklists,feature verification
en-US,/,/features/photo-evidence/,Photo evidence and location records,home feature discovery
en-US,/features/photo-evidence/,/blog/photo-evidence/,Photo evidence and location records,task education
en-US,/blog/photo-evidence/,/features/photo-evidence/,Photo evidence and location records,feature verification
en-US,/,/features/field-notes-and-signatures/,Field notes and sign-off,home feature discovery
en-US,/features/field-notes-and-signatures/,/blog/field-notes-and-signatures/,Field notes and sign-off,task education
en-US,/blog/field-notes-and-signatures/,/features/field-notes-and-signatures/,Field notes and sign-off,feature verification
en-US,/,/features/report-generation/,PDF and report generation,home feature discovery
en-US,/features/report-generation/,/blog/report-generation/,PDF and report generation,task education
en-US,/blog/report-generation/,/features/report-generation/,PDF and report generation,feature verification
en-US,/,/features/export-and-upload/,Export and server delivery,home feature discovery
en-US,/features/export-and-upload/,/blog/export-and-upload/,Export and server delivery,task education
en-US,/blog/export-and-upload/,/features/export-and-upload/,Export and server delivery,feature verification
zh-CN,/zh-CN/,/zh-CN/features/巡检项目/,巡检项目,home feature discovery
zh-CN,/zh-CN/features/巡检项目/,/blog/zh-CN/巡检项目/,巡检项目,task education
zh-CN,/blog/zh-CN/巡检项目/,/zh-CN/features/巡检项目/,巡检项目,feature verification
zh-CN,/zh-CN/,/zh-CN/features/巡检清单/,巡检清单,home feature discovery
zh-CN,/zh-CN/features/巡检清单/,/blog/zh-CN/巡检清单/,巡检清单,task education
zh-CN,/blog/zh-CN/巡检清单/,/zh-CN/features/巡检清单/,巡检清单,feature verification
zh-CN,/zh-CN/,/zh-CN/features/照片证据与位置记录/,照片证据与位置记录,home feature discovery
zh-CN,/zh-CN/features/照片证据与位置记录/,/blog/zh-CN/照片证据与位置记录/,照片证据与位置记录,task education
